imdb_id,TITLE,YEAR,GENRE,budget,revenue,vote_average
tt1055292,Life as We Know It,2010,Comedy,38000000,105610124,6.8
tt1055363,The Dead Matter,2010,Fantasy,2000000,0,3.7
tt1059790,Four Stories of St. Julian,2010,Crime,0,0,8.0
tt1059969,Spud,2010,Comedy,5000000,0,6.9
tt1063111,Small Town Saturday Night,2010,Drama,0,0,6.3
tt1063327,Bare Knuckles,2010,Action,0,0,4.0
tt1068962,The Two Deaths of Quincas Wateryell,2010,Comedy,0,0,6.7
tt1069246,Habana Eva,2010,Comedy,0,0,7.0
tt1070781,Good Intentions,2010,Comedy,0,0,5.1
tt1071211,Elvis & Madonna,2010,Comedy,0,0,7.8
tt1071783,The Dead Sleep,2010,Drama,0,0,5.0
tt1071877,Jelly,2010,Comedy,0,0,7.0
tt1072754,Messages Deleted,2010,Mystery,0,0,5.4
tt1073246,See You in September,2010,Comedy,0,0,5.0
tt1075642,Beyond the Grave,2010,Action,0,0,4.7
tt1075747,Jonah Hex,2010,Action,47000000,10539000,4.6
tt1078583,Krews,2010,Action,0,0,4.6
tt1078597,Elimination,2010,Action,0,0,3.0
tt1079964,Happiness Runs,2010,Drama,0,0,4.9
tt1080019,Jerry Cotton,2010,Action,0,0,6.2
tt1082075,Pusher,2010,Action,0,0,6.4
tt1082577,Deadly Impact,2010,Action,6000000,0,4.7
tt1087524,Once Fallen,2010,Crime,0,0,4.8
tt1090749,Consent,2010,Drama,0,0,5.7
tt1091863,With Great Power: The Stan Lee Story,2010,Biography,0,0,6.4
tt1092634,Shanghai,2010,Drama,50000000,0,6.2
tt1093906,The Rig,2010,Action,3000000,0,3.7
tt1094666,The Hammer,2010,Biography,0,0,6.5
tt1100051,Bereavement,2010,Crime,2000000,0,5.3
tt1101031,Broken Sun,2010,Drama,0,0,5.0
tt1103153,Killers,2010,Action,75000000,98159963,5.9
tt1103255,Something Like a Business,2010,Comedy,0,0,3.6
tt1103273,Peep World,2010,Comedy,0,10967,5.0
tt1104001,TRON: Legacy,2010,Action,170000000,400062763,6.3
tt1105740,Eva,2010,Drama,3383700,0,5.0
tt1106860,Ca$h,2010,Comedy,7000000,46488,5.8
tt1107319,Dirty Girl,2010,Comedy,4000000,55125,6.3
tt1109488,Mars,2010,Animation,0,0,5.4
tt1109582,A Day of Violence,2010,Crime,0,0,4.8
tt1109594,Kalamity,2010,Drama,2000000,0,4.0
tt1111313,The Elephant in the Living Room,2010,Documentary,0,0,6.8
tt1114710,He Ain't Like That,2010,Thriller,0,0,5.3
tt1114731,Seres: Genesis,2010,Action,0,0,5.0
tt1116184,Jackass 3D,2010,Action,20000000,117224271,6.3
tt1119192,The Justice of Wolves,2010,Drama,0,0,1.0
tt1120985,Blue Valentine,2010,Drama,3500000,16566240,6.9
tt1122614,And Everything Is Going Fine,2010,Documentary,0,0,6.5
tt1123373,Detective Dee: The Mystery of the Phantom Flame,2010,Action,13000000,51723285,6.7
tt1124386,Pankh,2010,Drama,0,0,5.0
tt1125929,Love Ranch,2010,Biography,0,0,6.1
tt1126591,Burlesque,2010,Drama,55000000,89519773,7.1
tt1126618,Morning Glory,2010,Comedy,40000000,58785180,6.3
